"year","words","reproduc..","replic..","repeatab..","code","software","algorithm(s)","(pre)process..","data.*","result(s)","repository/ies","github/lab"
"2002",23782,6,2,0,11,61,191,150,897,129,62,0
"2004",26728,4,1,0,34,50,138,258,849,263,4,0
"2006",32758,6,0,0,12,32,335,250,856,164,0,0
"2008",27356,3,6,1,3,11,331,146,854,218,17,0
"2010",23004,3,1,0,8,16,164,276,650,162,0,0
"2012",28860,2,0,0,101,27,238,190,1048,311,3,0
"2014",29534,3,4,1,12,18,255,159,1070,228,3,0
"2016",24838,2,0,0,23,21,333,150,1007,202,4,1
"2018",23318,3,10,0,15,15,201,160,891,294,6,6
"Total",240178,32,24,2,219,251,2186,1739,8122,1971,99,7
