"place","wordstem","n","years w/ wordstem"
1,"data",7087,9
2,"spatial",5442,9
3,"model",4249,9
4,"relat",4063,9
5,"time",3547,9
6,"inform",3419,9
7,"set",3334,9
8,"map",3331,9
9,"object",2962,9
10,"network",2653,9
11,"locat",2642,9
12,"region",2560,9
13,"geograph",2553,9
14,"comput",2347,9
15,"result",2301,9
16,"space",2267,9
17,"algorithm",2234,9
18,"node",2191,9
19,"approach",1957,9
20,"system",1938,9
21,"rout",1904,9
22,"true",1901,9
23,"type",1890,9
24,"method",1886,9
25,"distanc",1824,9
26,"edg",1824,9
27,"queri",1721,9
28,"process",1683,9
29,"similar",1678,9
30,"user",1600,9
31,"repres",1560,9
32,"intersect",1521,9
33,"section",1521,9
34,"analysi",1499,9
35,"line",1487,9
36,"road",1458,9
37,"ontolog",1442,9
38,"direct",1431,9
39,"structur",1429,9
40,"featur",1331,9
41,"graph",1331,9
42,"function",1319,9
43,"measur",1315,9
44,"pattern",1307,9
45,"label",1293,9
46,"research",1278,9
47,"tempor",1276,9
48,"paper",1224,9
49,"event",1202,9
50,"studi",1201,9
51,"ed",1198,9
52,"refer",1175,9
53,"concept",1151,9
54,"level",1148,9
55,"path",1142,9
56,"cell",1097,9
57,"semant",1097,9
58,"generat",1091,9
59,"applic",1078,9
60,"topolog",1048,9
61,"provid",1036,9
62,"class",1024,9
63,"scienc",1009,9
64,"intern",1008,9
65,"oper",1003,9
66,"requir",1000,9
67,"boundari",992,9
68,"term",988,9
69,"local",978,9
70,"develop",977,9
71,"includ",966,9
72,"defin",953,9
73,"sensor",945,9
74,"valu",923,9
75,"chang",922,9
76,"step",922,9
77,"appli",915,9
78,"gis",912,9
79,"select",906,9
80,"instanc",901,9
81,"complex",900,9
82,"scale",898,9
83,"segment",891,9
84,"environ",885,9
85,"dataset",881,9
86,"databas",876,9
87,"connect",872,9
88,"φ",872,5
89,"represent",862,9
90,"diﬀer",857,8
91,"size",845,9
92,"cluster",843,9
93,"decis",843,9
94,"attribut",841,9
95,"search",839,9
96,"perform",830,9
97,"properti",828,9
98,"support",824,9
99,"experi",820,9
100,"distribut",813,9
